ProgramName,Tickers,Helper,Exp Ratio,3 Year,Eq Down Beta,FI Down Beta,Eq Corr,FI Corr,St Dev,Tenure
361 Global Long/Short Equity,AGAZX,Equity Long Short|Fee Based,0.0239,0.0081,0.51,1.34,0.92,-0.05,0.0848,66
361 Global Long/Short Equity  ,AGAQX,Equity Long Short|Fee Based,0.0271,0.0055,0.52,1.34,0.92,-0.06,0.0847,66
AB Select US Long/Short Portfolio    ,ASYLX,Equity Long Short|Fee Based,0.017,0.0659,0.44,2.49,0.97,-0.09,0.0921,90
Abbey Capital Futures Strategy  ,ABYIX,Managed Futures|Institutional,0.0179,0.0357,-0.31,1.1,0.05,0.27,0.0877,71
AllianzGI Structured Return  ,AZIPX,Equity Option|Fee Based,0.0082,-0.1073,2.01,2.16,0.63,0.09,0.1726,90
AlphaSimplex Global Alternatives   ,GAFYX,Alternative Allocation|Fee Based,0.0131,0.0115,0.39,1.56,0.86,-0.07,0.0681,126
AlphaSimplex Managed Futures Strategy   ,ASFYX,Managed Futures|Fee Based,0.0145,0.021,-0.43,1.76,-0.01,0.33,0.1219,118
Altegris Futures Evolution Strategy   ,EVONX,Managed Futures|Fee Based,0.0194,-0.04,0.94,2.45,0.43,0.28,0.1365,104
American Beacon AHL Managed Futures Strategy   ,AHLPX,Managed Futures|Fee Based,0.0192,0.0356,-0.57,0.47,-0.2,0.18,0.104,70
American Beacon AHL TargetRisk   ,AHTPX,Global Allocation|Fee Based,0.0142,0,0.36,0.7,0.48,0.3,0.0659,18
AQR Diversified Arbitrage ,ADANX,Equity Market Neutral|Fee Based,0.0232,0.0457,0.59,0.56,0.59,0.22,0.0622,126
AQR Equity Market Neutral ,QMNNX,Equity Market Neutral|Fee Based,0.0202,-0.1057,0,-1.16,-0.03,0.05,0.0686,68
AQR Global Macro ,QGMNX,Global Allocation|Fee Based,0.0148,0.0322,0.18,-2.25,0.42,-0.53,0.0588,74
AQR Long/Short Equity ,QLENX,Equity Long Short|Fee Based,0.0157,-0.0805,0.57,0.41,0.71,-0.05,0.1052,83
AQR Managed Futures Strategy ,AQMNX,Managed Futures|Fee Based,0.0151,-0.0101,-0.32,1.57,-0.02,0.14,0.0896,125
AQR Managed Futures Strategy HV ,QMHNX,Managed Futures|Fee Based,0.0192,-0.0242,-0.47,2.33,-0.02,0.15,0.1344,83
AQR Multi-Strategy Alternative ,ASANX,Alternative Allocation|Fee Based,0.0302,-0.171,0.87,0.47,0.52,0.02,0.1037,107
AQR Style Premia Alternative ,QSPNX,Alternative Allocation|Fee Based,0.0208,-0.1075,0.3,-0.3,0.19,-0.33,0.0753,80
AQR Style Premia Alternative LV ,QSLNX,Alternative Allocation|Fee Based,0.0151,-0.0524,0.17,-0.16,0.17,-0.29,0.0397,69
Arbitrage   ,ARBFX,Equity Market Neutral|Fee Based,0.0199,0.0223,0.16,0.05,0.57,0.22,0.0313,126
BlackRock Event Driven Equity ,BALPX,Equity Market Neutral|A Share,0.0175,0.0404,0.3,-0.2,0.71,0.19,0.0482,126
BlackRock Global Long/Short Credit ,BGCAX,Alternative Credit|A Share,0.0228,0.0111,0.53,0.45,0.69,0.14,0.0497,104
BlackRock Global Long/Short Equity ,BDMAX,Equity Market Neutral|A Share,0.0183,0.0368,-0.04,0.92,0.18,0.23,0.0552,90
BlackRock Systematic Multi-Strategy ,BAMBX,Global Allocation|A Share,0.0122,0.0637,0.19,0.67,0.68,0.46,0.0416,61
BlackRock Tactical Opportunities    ,PCBSX,Global Allocation|Fee Based,0.0118,0.0477,0.07,-1.35,0.44,-0.35,0.0439,126
Blackstone Alternative Multi-Strategy ,BXMIX,Alternative Allocation|Institutional,0.0293,-0.0049,0.93,1.41,0.66,0.12,0.0945,72
BNY Mellon Alternative Diversifier Strategies,DRNAX,Alternative Allocation|A Share,0.02,-0.0006,0.58,1.82,0.94,0.1,0.0713,75
BNY Mellon Dynamic Total Return,AVGAX,Global Allocation|A Share,0.0144,0.0178,0.55,2.28,0.93,0.03,0.0841,126
BNY Mellon Global Real Return,DRRAX,Global Allocation|A Share,0.0112,0.0385,0.62,1.92,0.71,0.43,0.0664,121
