ProgramName,Share Class,Ticker,Share Class Type,Tenure (Mos)
361GlobalLong/ShortEquity,Class I,AGAZX,Fee Based,67
361GlobalLong/ShortEquity,Class Y,AGAWX,Institutional,67
361GlobalLong/ShortEquity,Investor Class,AGAQX,Fee Based,67
ABSelectUSLong/ShortPortfolio,Class A,ASLAX,A Share,91
ABSelectUSLong/ShortPortfolio,Class C,ASCLX,C Share,91
ABSelectUSLong/ShortPortfolio,Class I,ASILX,Institutional,91
ABSelectUSLong/ShortPortfolio,Class R,ASRLX,Retirement,91
ABSelectUSLong/ShortPortfolio,Advisor,ASYLX,Fee Based,91
ABSelectUSLong/ShortPortfolio,Class K,ASLKX,Retirement,91
AbbeyCapitalFuturesStrategy,Class A,ABYAX,A Share,70
AbbeyCapitalFuturesStrategy,Class C,ABYCX,C Share,57
AbbeyCapitalFuturesStrategy,Class I,ABYIX,Institutional,72
AllianzGIStructuredReturn,Class A,AZIAX,A Share,91
AllianzGIStructuredReturn,Class C,AZICX,C Share,91
AllianzGIStructuredReturn,Class P,AZIPX,Fee Based,91
AllianzGIStructuredReturn,Institutional,AZIIX,Institutional,91
AllianzGIStructuredReturn,Class R6,AZIRX,Retirement,43
AlphaSimplexGlobalAlternatives,Class A,GAFAX,A Share,140
AlphaSimplexGlobalAlternatives,Class C,GAFCX,C Share,140
AlphaSimplexGlobalAlternatives,Class N,GAFNX,Institutional,86
AlphaSimplexGlobalAlternatives,Class Y,GAFYX,Fee Based,140
AlphaSimplexManagedFuturesStrategy,Class A,AMFAX,A Share,119
AlphaSimplexManagedFuturesStrategy,Class C,ASFCX,C Share,120
AlphaSimplexManagedFuturesStrategy,Class N,AMFNX,Institutional,38
AlphaSimplexManagedFuturesStrategy,Class Y,ASFYX,Fee Based,119
AltegrisFuturesEvolutionStrategy,Class A,EVOAX,A Share,105
AltegrisFuturesEvolutionStrategy,Class C,EVOCX,C Share,101
AltegrisFuturesEvolutionStrategy,Class I,EVOIX,Institutional,105
AltegrisFuturesEvolutionStrategy,Class N,EVONX,Fee Based,105
AmericanBeaconAHLManagedFuturesStrategy,Class A,AHLAX,A Share,71
AmericanBeaconAHLManagedFuturesStrategy,Class C,AHLCX,C Share,71
AmericanBeaconAHLManagedFuturesStrategy,Class Y,AHLYX,Institutional,71
AmericanBeaconAHLManagedFuturesStrategy,Investor,AHLPX,Fee Based,71
AmericanBeaconAHLManagedFuturesStrategy,Class R5,AHLIX,Institutional,16
AmericanBeaconAHLTargetRisk,Class A,AHTAX,A Share,15
AmericanBeaconAHLTargetRisk,Class C,AHACX,C Share,15
AmericanBeaconAHLTargetRisk,Class Y,AHTYX,Institutional,19
AmericanBeaconAHLTargetRisk,Investor,AHTPX,Fee Based,19
AmericanBeaconAHLTargetRisk,Class R5,AHTIX,Institutional,19
AQRDiversifiedArbitrage,Class I,ADAIX,Institutional,138
AQRDiversifiedArbitrage,Class N,ADANX,Fee Based,138
